name,moviestatus,criticstatus,userstatus,link
G.I. Joe: The Rise of Cobra,0,0,0,g_i_joe_the_rise_of_cobra
Independence Day: Resurgence,0,0,0,independence_day_resurgence
A.X.L.,0,0,0,a_x_l
Ad Astra,0,0,0,ad_astra
Splice,0,0,0,splice
Terminator 3: Rise of the Machines,0,0,0,terminator_3_rise_of_the_machines
Attack On Titan: Part 1,0,0,0,attack_on_titan_part_1
St. Trinian's,0,0,0,st_trinian_s
The Black Hole,0,0,0,the_black_hole
Battlestar Galactica,0,0,0,battlestar_galactica
Gravity,0,0,0,gravity
The Mist,0,0,0,the_mist
Aliens,0,0,0,aliens
Jupiter Ascending,0,0,0,jupiter_ascending
Vanilla Sky,0,0,0,vanilla_sky
King Cobra,0,0,0,king_cobra
Where the Wild Things Are,0,0,0,where_the_wild_things_are
Close Encounters of the Third Kind,0,0,0,close_encounters_of_the_third_kind
Time Bandits,0,0,0,time_bandits
Resident Evil: Apocalypse,0,0,0,resident_evil_apocalypse
The Lost World: Jurassic Park,0,0,0,the_lost_world_jurassic_park
Star Wars Episode VI: Return of the Jedi,0,0,0,star_wars_episode_vi_return_of_the_jedi
Beyond White Space,0,0,0,beyond_white_space
Wishmaster,0,0,0,wishmaster
Titan A.E.,0,0,0,titan_a_e
The Incredible Mr. Limpet,0,0,0,the_incredible_mr_limpet
Mad Max 2,0,0,0,mad_max_2
District 9,0,0,0,district_9
Superhero Movie,0,0,0,superhero_movie
Rainbow Brite and the Star Stealer,0,0,0,rainbow_brite_and_the_star_stealer
Hansel and Gretel,0,0,0,hansel_and_gretel
Attack of the Puppet People,0,0,0,attack_of_the_puppet_people
Pandorum,0,0,0,pandorum
Gabriel,0,0,0,gabriel
Double Team,0,0,0,double_team
RoboCop 3,0,0,0,robocop_3
Memoirs of an Invisible Man,0,0,0,memoirs_of_an_invisible_man
Bloody Birthday,0,0,0,bloody_birthday
The Incredible Melting Man,0,0,0,the_incredible_melting_man
Phase IV,0,0,0,phase_iv
Thunderbird 6,0,0,0,thunderbird_6
Queen of Blood,0,0,0,queen_of_blood
The Time Travelers,0,0,0,the_time_travelers
Journey to the Seventh Planet,0,0,0,journey_to_the_seventh_planet
Badlanders,0,0,0,badlanders
The Rage,0,0,0,the_rage
Area 407,0,0,0,area_407
Invisible Invaders,0,0,0,invisible_invaders
The Ape,0,0,0,the_ape
Alien Outpost,0,0,0,alien_outpost
Andron,0,0,0,andron
Zero Population Growth,0,0,0,zero_population_growth
Kingsglaive: Final Fantasy XV,0,0,0,kingsglaive_final_fantasy_xv
Passage To Mars,0,0,0,passage_to_mars
Terminator Salvation,0,0,0,terminator_salvation
The Adjustment Bureau,0,0,0,the_adjustment_bureau
Dreamcatcher,0,0,0,dreamcatcher
RoboCop,0,0,0,robocop
Maximum Ride,0,0,0,maximum_ride
Planet of the Apes,0,0,0,planet_of_the_apes
Flesh Gordon,0,0,0,flesh_gordon
Doomsday,0,0,0,doomsday
Killer Klowns from Outer Space,0,0,0,killer_klowns_from_outer_space
Elysium,0,0,0,elysium
Dragon Wars,0,0,0,dragon_wars
A.I. Artificial Intelligence,0,0,0,a_i_artificial_intelligence
Purgatory,0,0,0,purgatory
Mannequin Two: On the Move,0,0,0,mannequin_two_on_the_move
Back to the Future Part III,0,0,0,back_to_the_future_part_iii
The Blob,0,0,0,the_blob
Hardwired,0,0,0,hardwired
Resident Evil: Degeneration,0,0,0,resident_evil_degeneration
Tank Girl,0,0,0,tank_girl
Frankenstein,0,0,0,frankenstein
Skyline,0,0,0,skyline
Decoys 2: Alien Seduction,0,0,0,decoys_2_alien_seduction
The Cell,0,0,0,the_cell
Fahrenheit 451,0,0,0,fahrenheit_451
Victor Frankenstein,0,0,0,victor_frankenstein
Ben 10: Secret of the Omnitrix,0,0,0,ben_10_secret_of_the_omnitrix
Avatar 2,0,0,0,avatar_2
Resident Evil: Extinction,0,0,0,resident_evil_extinction
WarGames,0,0,0,wargames
Cloud Atlas,0,0,0,cloud_atlas
War of the Worlds 2: The Next Wave,0,0,0,war_of_the_worlds_2_the_next_wave
Mary Shelley's Frankenstein,0,0,0,mary_shelley_s_frankenstein
Another Earth,0,0,0,another_earth
Multiplicity,0,0,0,multiplicity
Total Recall,0,0,0,total_recall
Cyborg,0,0,0,cyborg
Quarantine 2: Terminal,0,0,0,quarantine_2_terminal
Push,0,0,0,push
Minority Report,0,0,0,minority_report
"Honey, I Blew Up the Kid",0,0,0,honey_i_blew_up_the_kid
Jack,0,0,0,jack
Rollerball,0,0,0,rollerball
Iron Sky,0,0,0,iron_sky
Solo: A Star Wars Story,0,0,0,solo_a_star_wars_story
Battle: Los Angeles,0,0,0,battle_los_angeles
Zathura,0,0,0,zathura
Parasite,0,0,0,parasite
Fantastic Voyage,0,0,0,fantastic_voyage
The Mermaid,0,0,0,the_mermaid
A Wrinkle in Time,0,0,0,a_wrinkle_in_time
Austin Powers: International Man of Mystery,0,0,0,austin_powers_international_man_of_mystery
Puppet Master,0,0,0,puppet_master
Code 8,0,0,0,code_8
Paprika,0,0,0,paprika
Supergirl,0,0,0,supergirl
The Andromeda Strain,0,0,0,the_andromeda_strain
Panic in Year Zero!,0,0,0,panic_in_year_zero
Peter Pan,0,0,0,peter_pan
Dungeons & Dragons,0,0,0,dungeons_dragons
Melancholia,0,0,0,melancholia
Resident Evil: Afterlife,0,0,0,resident_evil_afterlife
Brazil,0,0,0,brazil
Mega Piranha,0,0,0,mega_piranha
Equals,0,0,0,equals
The Blob,0,0,0,the_blob
Peter Benchley's Creature,0,0,0,peter_benchley_s_creature
The Happening,0,0,0,the_happening
Elektra,0,0,0,elektra
The Sixth Man,0,0,0,the_sixth_man
Back to the Future Part II,0,0,0,back_to_the_future_part_ii
Cube,0,0,0,cube
Batman Beyond: Return of the Joker,0,0,0,batman_beyond_return_of_the_joker
